seed,method,agree_own_clean,agree_zhat_clean,ref_agree_zhat
27,emEM10,0.9481481481481482,0.725925925925926,0.7933333333333333
27,vote,0.9259259259259259,0.8814814814814815,0.9133333333333333
27,median,0.8074074074074075,0.8592592592592593,0.94
27,adapt,1.0,0.8740740740740741,0.8666666666666667
27,TA-rw(0.25),1.0,0.8740740740740741,0.8666666666666667
27,TA50(a=0.05),0.5333333333333333,0.6074074074074074,0.9266666666666666
27,TA50(a=0.10),0.8962962962962963,0.9851851851851852,0.8733333333333333
27,TA50(a=0.25),0.9851851851851852,0.8740740740740741,0.8666666666666667
27,bestB-trim(a=0.10),0.8962962962962963,0.9851851851851852,0.8733333333333333
28,HA50,0.6148148148148148,0.6148148148148148,1.0
28,emEM10,0.9407407407407408,0.7407407407407407,0.7933333333333333
28,vote,0.9111111111111111,0.8592592592592593,0.9133333333333333
28,median,0.9185185185185185,0.8814814814814815,0.94
28,adapt,1.0,0.8592592592592593,0.8666666666666667
28,TA-rw(0.25),1.0,0.8592592592592593,0.8666666666666667
28,TA50(a=0.05),0.5333333333333333,0.6148148148148148,0.9266666666666666
28,TA50(a=0.10),0.8888888888888888,0.9777777777777777,0.8733333333333333
28,TA50(a=0.25),0.9925925925925926,0.8592592592592593,0.8666666666666667
28,bestB-trim(a=0.10),0.8888888888888888,0.9777777777777777,0.8733333333333333
29,HA50,0.5925925925925926,0.5925925925925926,1.0
29,emEM10,0.9407407407407408,0.7185185185185186,0.7933333333333333
29,vote,0.7851851851851852,0.8148148148148148,0.9133333333333333
29,median,0.9185185185185185,0.8740740740740741,0.94
29,adapt,1.0,0.8814814814814815,0.8666666666666667
29,TA-rw(0.25),1.0,0.8814814814814815,0.8666666666666667
29,TA50(a=0.05),0.5333333333333333,0.5925925925925926,0.9266666666666666
29,TA50(a=0.10),0.8962962962962963,0.9925925925925926,0.8733333333333333
29,TA50(a=0.25),0.9925925925925926,0.8740740740740741,0.8666666666666667
29,bestB-trim(a=0.10),0.8962962962962963,0.9925925925925926,0.8733333333333333
30,HA50,0.6222222222222222,0.6222222222222222,1.0
30,emEM10,0.9407407407407408,0.7407407407407407,0.7933333333333333
30,vote,0.9333333333333333,0.9333333333333333,0.9133333333333333
30,median,0.9481481481481482,0.9185185185185185,0.94
30,adapt,1.0,0.8666666666666667,0.8666666666666667
30,TA-rw(0.25),1.0,0.8666666666666667,0.8666666666666667
30,TA50(a=0.05),0.5481481481481482,0.6222222222222222,0.9266666666666666
30,TA50(a=0.10),0.8740740740740741,1.0,0.8733333333333333
30,TA50(a=0.25),0.9851851851851852,0.8666666666666667,0.8666666666666667
30,bestB-trim(a=0.10),0.8740740740740741,1.0,0.8733333333333333
31,HA50,0.562962962962963,0.562962962962963,1.0
31,emEM10,0.9555555555555556,0.7407407407407407,0.7933333333333333
31,vote,0.8,0.837037037037037,0.9133333333333333
31,median,0.9185185185185185,0.9629629629629629,0.94
